Sno,Weight
0,0.0005984191
1,-0.024361804
2,-0.006910674
3,0.042370643
4,0.041316003
5,-0.015303906
6,0.024392525
7,-0.0035747653
8,-0.0042085163
9,-0.011641841
10,0.045941383
11,0.0009719626
12,0.055029042
13,0.01569192
14,0.053062145
15,0.017008618
16,-0.008052554
17,0.000593625
18,-0.008803732
19,0.0562199
20,-0.00577875
21,-0.014261151
22,0.060244463
23,-0.0025974188
24,-0.0055519305
25,0.054319363
26,0.043190807
27,0.030655896
28,-0.02531838
29,0.050089568
30,0.001549389
31,0.021217393
32,0.045825988
33,-0.011433563
34,0.041443657
35,0.015806112
36,0.022417253
37,-0.031009687
38,0.04456767
39,0.03665149
40,0.031305637
41,-0.017633282
42,-0.020378947
43,0.014884402
44,0.007216018
45,0.036766514
46,-0.01821539
47,-0.001841607
48,0.021278689
49,-0.027201395
50,-0.0016529887
51,0.004942108
52,0.05649133
53,0.0228597
54,0.002203327
55,0.05851874
56,0.05589761
57,-0.018065862
58,-0.015300069
59,0.044192694
60,0.030970957
61,-0.008772533
62,0.047627233
63,0.0021822706
64,0.04724135
65,0.010744638
66,-0.0018205086
67,0.0023818184
68,-0.013611872
69,-0.014447038
70,0.046646096
71,-0.0022083307
72,0.041382145
73,-0.00022944494
74,0.027989727
75,0.017236428
76,-0.00013453423
77,0.047308784
78,-0.0043461034
79,-0.0062154927
80,0.049528334
81,0.017770031
82,-0.0027692844
83,0.04878781
84,0.05212453
85,-0.0020475888
86,0.030107608
87,0.003940746
88,0.05112362
89,0.0013209296
90,0.050918274
91,0.040871955
92,0.0058781295
93,-0.009038268
94,0.044843435
95,0.034226302
96,0.008775909
97,-0.01783812
98,0.0008230964
99,0.03819855
100,0.010606049
101,0.024080407
102,0.012961809
103,0.045212835
104,0.039505187
105,-0.009098596
106,0.055483755
107,-0.00911839
108,0.012239708
109,0.030800357
110,-0.002195771
111,0.037472293
112,0.042044356
113,-0.014920507
114,0.03223735
115,0.03930452
116,0.045757696
117,0.05080583
118,0.042284254
119,0.052726466
120,0.020900466
121,0.051214397
122,0.048211504
123,0.008733145
124,0.03648886
125,0.029341951
126,0.02132445
127,0.010162791
128,-0.0058352104
129,0.05058614
130,0.04890739
131,0.05210055
132,0.0026606475
133,-0.004289997
134,0.028398091
135,0.038611785
136,0.048018385
137,0.056860525
138,-0.0123811485
139,0.050058495
140,-0.020097112
141,0.007875665
142,0.009007098
143,0.009256031
144,0.044694815
145,0.0050564674
146,-0.0029239284
147,-0.022764428
148,0.048653856
149,0.0011552065
150,0.0018814496
151,0.04421983
152,-0.011799095
153,0.016261179
154,0.021945741
155,0.06292243
156,0.020235416
157,-0.018635675
158,-0.0092656715
159,-0.0026775608
160,-0.005925313
161,0.051949657
162,0.0027463334
163,0.047670357
164,0.024803858
165,0.04316364
166,-0.0048715877
167,0.05275837
168,-0.012426815
169,-0.007503383
170,-0.011235316
171,0.06129773
172,-0.013377817
173,0.038746804
174,-0.008169577
175,-0.0038318527
176,0.0608286
177,0.06189566
178,-0.0012955153
179,0.05426834
180,-0.0009741279
181,0.034002464
182,0.0007369418
183,0.061900634
184,-0.0028601205
185,-0.012044254
186,0.012992482
187,-0.01630088
188,0.039070927
189,0.025544347
190,-0.011639888
191,0.03566048
192,-0.00709269
193,0.01805151
194,0.04700959
195,-0.009595033
196,0.032789275
197,-0.012472626
198,0.056420796
199,-0.0018636696
200,-0.0038355829
201,-0.013468969
202,-0.012854276
203,-0.0029610668
204,-0.006994185
205,-0.008539099
206,-0.000595627
207,-0.008883018
208,0.009744723
209,0.004159731
210,0.050486293
211,0.049893115
212,-0.012645068
213,0.039528783
214,0.034494072
215,0.019117808
216,0.05371375
217,-0.017503843
218,0.058496162
219,0.02813315
220,0.020096967
221,0.056833167
222,-0.016283553
223,-0.016054206
224,0.05484357
225,0.048465773
226,0.004837355
227,-0.025648061
228,0.056866754
229,0.031972244
230,-0.006981083
231,-0.004193283
232,0.002469205
233,-0.0028719376
234,-0.014654875
235,0.03319825
236,0.056312427
237,0.00059040054
238,0.007783711
239,0.002612116
240,0.024325991
241,0.048045903
242,0.052140035
243,-0.015277243
244,-0.0028824706
245,0.06347451
246,-0.01782064
247,0.0037343444
248,-0.016569583
249,0.041873287
250,0.04857535
251,-0.008586394
252,-0.021289017
253,-0.010549414
254,-0.01127701
255,0.04604732
