Sno,Weight
0,0.006653393
1,0.0036231694
2,0.0012049825
3,0.008748041
4,-0.0056893434
5,0.0032771998
6,-0.008474009
7,-0.0064777425
8,0.011043256
9,0.011138874
10,0.0034827597
11,-0.016866937
12,0.05031857
13,0.050650083
14,0.062797315
15,0.044588912
16,0.034207914
17,0.0676139
18,0.06212048
19,0.058854822
20,-0.0025489463
21,0.0049716136
22,0.015389177
23,-0.012909766
24,0.032495007
25,0.019866424
26,0.032423556
27,0.035992704
28,0.020333892
29,0.06158882
30,0.044753026
31,-0.045012046
32,0.013963514
33,-0.0037606591
34,-0.0025518665
35,0.010413899
36,0.0042727073
37,0.006580625
38,-0.012448788
39,-0.0061552515
40,0.029672652
41,0.05728714
42,0.04750633
43,0.04925128
44,-0.023978956
45,-0.0058208485
46,-0.008572285
47,0.010981962
48,0.05233888
49,0.048138462
50,0.04309332
51,0.055587556
52,0.058475584
53,-0.09125381
54,-0.020769006
55,0.08819762
56,0.054618187
57,0.058226645
58,0.051451515
59,0.06869001
60,-0.023881549
61,-0.02007102
62,-0.042576604
63,-0.0040035616
64,-0.013494174
65,-0.0007930758
66,0.01237038
67,0.0023877732
68,0.0020193784
69,-0.0071158307
70,-0.008319179
71,0.012667449
72,-5.6751524e-05
73,0.003742231
74,0.00048756436
75,0.0072075576
76,0.058369894
77,0.03856296
78,0.048950095
79,0.04623458
80,-0.0025298872
81,0.0030223476
82,0.0190772
83,0.009413098
84,-0.008785725
85,-0.014312572
86,-0.01011195
87,0.0067082886
88,0.049546037
89,0.038819958
90,0.069303185
91,0.05616833
92,0.016872313
93,-0.011243341
94,-0.0031220634
95,-0.009203611
96,-0.00660807
97,-0.0035999496
98,-0.0018571567
99,-0.017516065
100,0.06570462
101,0.048405316
102,0.05322938
103,0.0689942
104,0.05899956
105,0.04483112
106,0.06567374
107,0.031064974
108,0.032826956
109,0.025480725
110,0.036303908
111,0.05278217
112,-0.013726109
113,-0.012350868
114,-0.009411491
115,-0.0027393152
116,0.04140681
117,0.060063194
118,0.06593637
119,0.06171025
120,0.050567362
121,-0.0123083
122,0.033514254
123,0.016991032
124,0.032986067
125,0.044493347
126,0.042823125
127,0.03789921
128,0.03830253
129,0.049388587
130,0.04971069
131,0.05197435
132,-0.0096451165
133,0.0058925333
134,-0.008162086
135,0.017653745
136,0.042315077
137,0.06587785
138,0.053848844
139,0.03044029
140,-0.012703241
141,-0.0064233113
142,0.0116304755
143,0.013317852
144,0.047037605
145,0.024159223
146,0.027588591
147,0.05488407
148,-0.000914818
149,-0.0052158567
150,-0.0028020758
151,-0.010046717
152,0.0560012
153,0.032809533
154,0.05346308
155,0.054644883
156,0.04447907
157,0.045186743
158,0.024629077
159,0.04403633
160,0.043424856
161,0.020006726
162,0.060171463
163,0.029174542
164,0.011850673
165,-0.0022879965
166,0.010835575
167,0.00056281855
168,-0.0115531115
169,-0.0031666164
170,-0.0026103074
171,0.002393599
172,-0.01593247
173,-0.024417674
174,0.034434594
175,0.016922317
176,-0.050298065
177,0.091358416
178,0.059653442
179,-0.118595675
180,0.03614051
181,-0.055187654
182,0.046611127
183,-0.02818175
184,0.015153134
185,0.007855742
186,0.005550884
187,-0.008162577
188,-0.0010867384
189,-0.00030632387
190,0.015581824
191,-0.0054573976
192,0.028322602
193,0.00047972403
194,0.05605602
195,0.023923106
196,-0.012731826
197,-0.0046379836
198,-0.0058146445
199,-0.0031625298
200,-0.00088606915
201,0.09990503
202,0.04897533
203,-0.099833615
204,-0.0019792218
205,0.009636045
206,0.0153254755
207,-0.004322865
208,0.05525735
209,0.04926432
210,0.03733803
211,0.069203265
212,0.0038490985
213,-0.06965884
214,-0.049229745
215,0.11070648
216,-0.010293059
217,0.065786034
218,0.0722735
219,-0.09061173
220,0.06569805
221,0.06244058
222,0.045354143
