Sno,Weight
0,0.011870101
1,-0.009719236
2,-0.097716264
3,-0.010828524
4,-0.049482916
5,-0.03081549
6,0.0033635062
7,-0.022825088
8,-0.063609384
9,-0.030382
10,0.025869317
11,-0.007054605
12,-0.01205359
13,-0.010199053
14,0.0021030358
15,-0.014234715
16,-0.0438249
17,-0.035653964
18,-0.00561957
19,-0.015204592
20,-0.054279935
21,0.0060218917
22,-0.012881115
23,-0.01612721
24,-0.030918816
25,-0.042988867
26,-0.002847754
27,0.011132673
28,-0.042380795
29,-0.006052717
30,-0.029274894
31,0.0071318327
32,-0.0056344625
33,0.00019987929
34,-0.00843966
35,-0.005464105
36,0.003918088
37,-0.015063431
38,-0.0023157122
39,-0.033987917
40,-0.031223405
41,-0.00062841584
42,-0.07017748
43,-0.028036071
44,-0.02421035
45,-0.021880243
46,0.006531735
47,0.018629132
48,-0.001920898
49,-0.011687313
50,0.011492981
51,-0.012790297
52,0.007876345
53,-0.01614288
54,-0.039266493
55,0.003190437
56,-0.026924985
57,-0.025350075
58,-0.022316668
59,-0.03157898
60,-0.027489878
61,-0.007868992
62,-0.029057203
63,-0.01692206
64,-0.0017000653
65,0.027614992
66,0.009034575
67,-0.010270807
68,-0.041449912
69,0.017471869
70,-0.038126968
71,0.010028474
72,0.00010112976
73,-0.01773813
74,0.0028632379
75,-0.08651754
76,-0.022337383
77,-0.00074341916
78,0.017954819
79,-0.023938427
80,0.0047545317
81,-0.010125867
82,-0.011620659
83,0.010600273
84,-0.023372313
85,-0.0119723575
86,0.008019875
87,0.0060249213
88,-0.011133111
89,-0.020838896
90,0.00953809
91,-0.05935366
92,-0.040071655
93,-0.0025665374
94,-0.038143568
95,-0.10316708
96,0.0066858362
97,0.007850913
98,0.0047172178
99,-0.010464851
100,0.006682279
101,0.0030062732
102,-0.036047798
103,-0.01648276
104,-0.027172845
105,-0.011405698
106,-0.013456809
107,-0.10842243
108,-0.04748672
109,-0.0071617295
110,-0.004042203
111,-0.05175767
112,-0.010734705
113,-0.019463297
114,-0.031973407
115,-0.06355754
116,-0.013873614
117,-0.01884366
118,0.0046557733
119,-0.014615854
120,-0.030299246
121,-0.0325253
122,0.002165742
123,-0.013916976
124,-0.03773344
