Sno,Weight
0,-0.03372416
1,-0.025768904
2,-0.015644897
3,-0.046491217
4,-0.044297256
5,-0.008836721
6,-0.0029871692
7,-0.007056461
8,0.032108724
9,-0.019851878
10,0.010729145
11,0.007836043
12,-0.02070748
13,-0.014010039
14,-0.012263835
15,-0.00662037
16,-0.0153012555
17,-0.045779407
18,0.014764461
19,-0.00018347183
20,-0.0115737375
21,-0.013990748
22,-0.01806248
23,-0.004197396
24,-0.053548247
25,-0.008956838
26,-0.05982934
27,-0.014628364
28,-0.022129195
29,-0.009390165
30,0.01958107
31,-0.043822873
32,0.014341989
33,0.0131888995
34,0.00443938
35,-0.008053007
36,-0.050353784
37,-0.02277113
38,-0.0070621697
39,-0.024433728
40,-0.010322556
41,0.010653223
42,-0.029817156
43,0.0050852885
44,-0.014104596
45,-0.009447344
46,-0.036624767
47,-0.03220242
48,-0.003866236
49,-0.031256944
50,-0.0005688207
51,0.017230127
52,-0.004136126
53,-0.027484434
54,0.006299598
55,-0.013082259
56,-0.026307438
57,-0.031889375
58,-0.020916222
59,-0.036752786
60,-0.015537834
61,-0.010110802
62,-0.005345333
63,-0.01393725
64,-0.013891952
65,-0.0073104566
66,-0.011588352
67,-0.011165771
68,-0.008099909
69,-0.015058475
70,-0.015084244
71,0.007316718
72,-0.008987531
73,-0.0018728343
74,-0.01676325
75,-0.037042916
76,-0.020712782
77,0.0046865516
78,-0.019845739
79,-0.014415688
80,0.0072896634
81,-0.0042061084
82,0.007957772
83,0.008866006
84,-0.012599002
85,-0.005002279
86,0.024693366
87,-0.007278145
88,-0.034578048
89,-0.036054548
90,-0.0076265284
91,-0.023494296
92,-0.012646454
93,-0.012167071
94,-0.026528053
95,0.0028661294
96,-0.03843031
97,0.0031285232
98,0.017554404
99,0.011753738
100,-0.018869339
101,0.0005683276
102,-0.014078512
103,-0.0060270713
104,-0.027015885
105,-0.012648753
106,0.010926825
107,-0.013841616
108,-0.044957273
109,-0.020074928
110,-0.018364701
111,-0.0042286566
112,0.013863927
113,-0.012368525
114,-0.018607333
115,-0.010918311
116,-0.019180035
117,0.0036811803
118,0.0126842335
119,0.002803126
120,-0.020725515
121,0.0035792396
122,0.014440694
123,0.006785911
124,0.0030223713
125,0.0041212165
126,0.0030615565
127,-0.024128642
128,-0.0014063218
129,0.013470835
130,0.052550096
131,0.0060099256
132,-0.016960358
133,-0.039131522
134,-0.004630132
135,-0.022505274
136,-0.0023253239
137,-0.02709634
138,-0.049064334
139,-0.007027805
140,-0.002487129
141,-0.0044433866
142,0.013719684
143,0.013415561
144,-0.010466534
145,0.018035822
146,0.00014139072
147,0.0046715583
148,0.00046402818
149,-0.009728277
150,-0.01069041
151,0.019387001
152,-0.0035565384
153,-0.03791071
154,-0.0028291147
155,0.0067471364
156,0.028111707
157,0.019133063
158,0.0039088554
159,-0.028872782
160,0.022280455
161,-0.00100997
162,0.012610438
163,0.009610825
164,-0.010220859
165,-0.018590976
