Sno,Weight
0,0.019526873
1,0.04051777
2,0.0052343365
3,0.05668859
4,0.020593312
5,0.029249042
6,-0.0045294943
7,0.029280126
8,0.03897661
9,-0.02393963
10,0.055361945
11,0.031567857
12,0.012374246
13,0.022697492
14,0.024783041
15,0.032652017
16,-0.042088423
17,0.023521978
18,-0.050958984
19,0.022505093
20,0.023215946
21,0.03625752
22,0.0035021615
23,-0.055815477
24,0.039768483
25,0.044685278
26,-0.007928001
27,0.018354889
28,0.015763123
29,0.036855355
30,0.01700127
31,0.025247144
32,0.037994873
33,-0.019989455
34,-0.05337569
35,0.0050531053
36,0.02287048
37,0.030471448
38,0.031039197
39,0.01305555
40,-0.04943067
41,0.028636836
42,0.020003235
43,0.01725642
44,0.054101784
45,0.03623393
46,0.022834327
47,0.04018901
48,0.012953379
49,0.008852226
50,0.0075650644
51,0.007849426
52,0.028181242
53,0.028689984
54,0.021519773
55,0.012446223
56,0.001211203
57,-0.022773586
58,0.05756271
59,-0.034366596
60,0.016133705
61,-0.045441724
62,-0.029129107
63,0.051799927
64,-0.0805761
65,-0.010496335
66,0.002542118
67,0.04439454
68,0.04597915
69,0.04931707
70,0.03141051
71,0.03464502
72,0.032014992
73,-0.046258625
74,0.037395187
75,0.01634451
76,-0.012349109
77,-0.02541534
78,-0.02031919
79,-0.009281792
80,0.047503915
81,0.01328166
82,-0.01890077
83,0.03164272
84,0.01696165
85,0.013876581
86,-0.01984707
87,-0.020566937
88,0.009055698
89,-0.04150883
90,0.032399517
91,-0.022683807
92,0.03875601
93,0.020301918
94,0.026587442
95,0.023468558
96,0.038591515
97,-0.04623236
98,0.04092953
99,-0.014159059
100,0.05058665
101,0.025149425
102,-0.015181255
103,-0.009116871
104,-0.0063135456
105,-0.007843156
106,0.023581577
107,0.013630218
108,-0.018968498
109,-0.06134794
110,-0.030335817
111,0.033786584
112,0.0077422597
113,0.03471528
114,-0.009406689
115,0.029205631
116,-0.007838163
117,-0.056345526
118,0.03891477
119,-0.010580769
120,0.035802092
121,0.029810647
122,-0.05064013
123,0.04171568
124,-0.0254855
125,0.0064874515
126,-0.00083988614
127,0.025525754
128,0.008979729
129,0.019029029
130,0.022802623
131,0.020475335
132,0.023035938
133,0.033986814
134,-0.06869957
135,-0.010723187
136,-0.03359378
137,0.059403345
138,0.014881658
139,0.029304005
140,0.024438119
141,0.025783576
142,-0.0012426804
143,0.01147698
144,0.045430522
145,-0.03872612
146,0.013331946
147,0.022240326
148,0.011542802
149,0.02333508
150,0.034657087
151,0.038578276
152,0.017987257
153,-0.036661483
154,-0.06612
155,0.0071228296
156,0.015971977
157,0.023210978
158,-0.062043313
159,0.009094518
160,0.021606794
161,0.03437495
162,-0.022758832
163,0.028563252
164,-0.05654906
165,-0.027764078
166,-0.059183203
167,-0.04236218
168,-0.06073116
169,0.014819029
170,0.052962486
171,0.038465943
172,0.018846683
173,0.0080268625
174,0.03938339
175,0.015476437
176,0.03163478
177,0.019465066
178,0.039551888
