Sno,Weight
0,0.053179223
1,-0.009582519
2,-0.018901495
3,0.04535052
4,-0.05166668
5,0.04166856
6,-0.0461589
7,-0.02009427
8,0.024868088
9,0.038293768
10,0.03776618
11,0.038876403
12,-0.03397352
13,0.010481087
14,0.01698252
15,0.037652317
16,0.018483924
17,0.020647448
18,0.02117918
19,0.018407239
20,0.0011763871
21,0.01924106
22,-0.0011421802
23,-0.014240054
24,0.022178683
25,-0.0062078494
26,-0.023471056
27,0.04601059
28,0.002951792
29,-0.027604619
30,0.050572515
31,-0.05079116
32,-0.03232538
33,-0.05481442
34,0.025277585
35,0.014295854
36,-0.0041425545
37,0.0031859996
38,-0.0015763863
39,-0.01551932
40,-0.06884214
41,0.0357804
42,0.038089547
43,-0.061225664
44,-0.049209237
45,-0.04397145
46,0.034231737
47,0.0380664
48,0.037788082
49,0.0009960919
50,-0.009666993
51,0.018302135
52,-0.05053039
53,-0.0028635338
54,0.034558788
55,-0.0030855718
56,-0.01116567
57,0.046757735
58,0.05512858
59,-0.05006377
60,-0.03746808
61,-0.022019941
62,-0.0045260466
63,-0.04401149
64,-0.05031128
65,-0.0272289
66,0.033159327
67,0.041755177
68,0.0344706
69,-0.02724425
70,0.055309992
71,0.015400046
72,0.0015850184
73,-0.051073205
74,0.025858158
75,-0.021640258
76,-0.012250977
77,-0.007016677
78,-0.014178806
79,0.05747659
80,-0.013284171
81,-0.0054680738
82,0.0017146517
83,0.037444785
84,0.010457789
85,-0.011304326
86,0.02413087
87,0.014999586
88,0.047303557
89,0.015244706
90,0.038500074
91,0.00023377256
92,0.04973126
93,0.01870088
94,-0.007478675
95,0.017634246
96,0.011219199
97,-0.04546818
98,0.050178923
99,-0.047315154
100,0.057659168
101,0.010321109
102,0.01729343
103,0.007339153
104,-0.03921706
105,0.030954387
106,-0.040873993
107,-0.016593706
108,-0.0034711696
109,0.02314408
110,0.02510858
111,-0.011933079
112,0.033635177
113,-0.031807378
114,0.043834273
115,0.04270508
116,0.01256443
117,0.026899794
118,0.007984378
119,-0.049051803
120,0.0006259518
121,0.009885835
122,0.021348307
123,0.01872764
124,0.02803993
125,-0.0033852747
126,0.004542298
127,0.017522058
128,0.037296485
129,0.043096915
130,0.0163057
131,0.03680754
132,0.037900575
133,-0.02239774
134,0.005795415
135,0.075299
136,0.019261442
137,0.017647047
138,0.028138204
139,-0.0621445
140,0.03486569
141,0.039475735
142,-0.043512248
143,0.02677376
144,-0.055292625
145,0.020650696
146,-0.053322308
147,-0.017341161
148,-0.06571288
149,0.017995002
150,0.016936842
151,-0.01274325
152,0.028307002
153,0.03356124
154,-0.05964072
155,-0.08159711
156,0.029318133
157,0.019818004
158,0.039158955
159,0.021526376
160,0.039696813
161,0.02654346
162,-0.033156343
163,0.055356335
164,0.070656754
165,-0.08756863
166,0.040733643
167,-0.053446446
168,-0.0077911806
169,0.024678811
170,0.02733635
171,0.055649854
172,0.031871647
173,-0.015568407
174,0.021348003
175,0.01910891
176,-0.04765282
177,0.09440942
178,0.07086901
179,0.013257249
180,0.043455314
181,0.051574968
182,0.03555214
183,0.03879276
184,-0.054615114
185,-0.06996531
186,0.023752976
187,0.0023380748
188,0.01092954
189,0.02325652
190,-0.062326062
191,0.027349316
192,0.019088224
193,0.033264175
194,0.014639035
195,0.009833822
196,0.013157484
197,0.008546312
198,0.021097919
199,0.01341145
200,0.07031593
201,-0.05152749
202,-0.005986207
203,0.041094005
204,0.008513213
205,-0.014964183
206,-0.07292641
207,0.027642766
208,0.047387123
209,0.04214667
210,0.028084712
211,0.046300307
212,0.040507168
213,0.045748115
214,0.035356686
215,0.039010104
216,0.035612315
